company_name,company_img,company_ALid,founder_name,founder_followers,founder_img,nfounder,founder_company_ALids,founder_score,ninvestor,investor_company_ALids,investor_score,nboard,board_company_ALids,board_score
Openbay,https://s3.amazonaws.com/photos.angel.co/startups/i/183516-d5c895e8d7a747c152988005fb4c9535-medium_jpg.jpg?buster=1375155661,183516,Rob Infantino,4,https://s3.amazonaws.com/photos.angel.co/users/349983-medium_jpg?1382552521,1,[183516],6,0,[183516],0.0,0,[183516],0.0
Optimizely,https://s3.amazonaws.com/photos.angel.co/startups/i/32998-45e33954c547f256c086bc09986c5ba5-medium_jpg.jpg?buster=1326843245,32998,Pete Koomen,86,https://s3.amazonaws.com/photos.angel.co/users/190321-medium_jpg?1351352950,1,[32998],10,0,[32998],0.0,0,[32998],0.0
Opzi,https://s3.amazonaws.com/photos.angel.co/startups/i/32934-59e345b62993075a91e000de8bc30b9e-medium_jpg.jpg?buster=1386698127,32934,Euwyn Poon,1924,https://s3.amazonaws.com/photos.angel.co/users/12382-medium_jpg?1299095563,1,[32934],10,1,[32934],10,0,[32934],0.0
PageLever,https://s3.amazonaws.com/photos.angel.co/startups/i/24541-75931a8296c162813019d3bb216eaefc-medium_jpg.jpg?buster=1321347593,24541,Jeff Widman,566,https://s3.amazonaws.com/photos.angel.co/users/56091-medium_jpg?1315374176,2,"[267049, 24541]",15,0,"[267049, 24541]",0.0,0,"[267049, 24541]",0.0
PageLever,https://s3.amazonaws.com/photos.angel.co/startups/i/24541-75931a8296c162813019d3bb216eaefc-medium_jpg.jpg?buster=1321347593,24541,David Turner,201,https://s3.amazonaws.com/photos.angel.co/users/53274-medium_jpg?1316420243,1,[24541],10,0,[24541],0.0,0,[24541],0.0
PagerDuty,https://s3.amazonaws.com/photos.angel.co/startups/i/32606-ccb977f6d323e8bfb5128df59457ac0b-medium_jpg.jpg?buster=1341464488,32606,Alex Solomon,52,https://s3.amazonaws.com/photos.angel.co/users/145435-medium_jpg?1341450047,1,[32606],10,0,[32606],0.0,0,[32606],0.0
PagerDuty,https://s3.amazonaws.com/photos.angel.co/startups/i/32606-ccb977f6d323e8bfb5128df59457ac0b-medium_jpg.jpg?buster=1341464488,32606,Baskar Puvanathasan,23,https://angel.co/images/shared/nopic.png,1,[32606],10,0,[32606],0.0,0,[32606],0.0
PagerDuty,https://s3.amazonaws.com/photos.angel.co/startups/i/32606-ccb977f6d323e8bfb5128df59457ac0b-medium_jpg.jpg?buster=1341464488,32606,Andrew Miklas,39,https://angel.co/images/shared/nopic.png,1,[32606],10,0,[32606],0.0,0,[32606],0.0
Panna,https://s3.amazonaws.com/photos.angel.co/startups/i/88774-e593da1969db5c29d0bb7dd08718056b-medium_jpg.jpg?buster=1336485413,88774,David Ellner,35,https://s3.amazonaws.com/photos.angel.co/users/123785-medium_jpg?1335901698,1,[88774],7,0,[88774],0.0,0,[88774],0.0
Pharmly,https://s3.amazonaws.com/photos.angel.co/startups/i/206333-0b0761fda568caebe78afe9be0bab496-medium_jpg.jpg?buster=1368753258,206333,Kubs Lalchandani,56,https://s3.amazonaws.com/photos.angel.co/users/257399-medium_jpg?1362174100,1,[206333],5,0,[206333],0.0,0,[206333],0.0
Pharmly,https://s3.amazonaws.com/photos.angel.co/startups/i/206333-0b0761fda568caebe78afe9be0bab496-medium_jpg.jpg?buster=1368753258,206333,Samantha Godfrey,57,https://s3.amazonaws.com/photos.angel.co/users/300886-medium_jpg?1377547481,1,[206333],5,0,[206333],0.0,0,[206333],0.0
PlanGrid,https://s3.amazonaws.com/photos.angel.co/startups/i/85839-99cae95d511098f375c6133e08167e03-medium_jpg.jpg?buster=1344459307,85839,Ralph Gootee,12,https://s3.amazonaws.com/photos.angel.co/users/360411-medium_jpg?1377306616,1,[85839],10,0,[85839],0.0,0,[85839],0.0
PlanGrid,https://s3.amazonaws.com/photos.angel.co/startups/i/85839-99cae95d511098f375c6133e08167e03-medium_jpg.jpg?buster=1344459307,85839,Ryan Sutton-Gee,55,https://s3.amazonaws.com/photos.angel.co/users/122639-medium_jpg?1335638268,1,[85839],10,0,[85839],0.0,0,[85839],0.0
Plivo,https://s3.amazonaws.com/photos.angel.co/startups/i/27869-ed69b53f55006fff52d05a61cbc152dc-medium_jpg.jpg?buster=1374723197,27869,Venky,107,https://s3.amazonaws.com/photos.angel.co/users/71427-medium_jpg?1320672976,1,[27869],8,0,[27869],0.0,0,[27869],0.0
Plivo,https://s3.amazonaws.com/photos.angel.co/startups/i/27869-ed69b53f55006fff52d05a61cbc152dc-medium_jpg.jpg?buster=1374723197,27869,Michael Ricordeau,62,https://s3.amazonaws.com/photos.angel.co/users/157631-medium_jpg?1344153910,1,[27869],8,0,[27869],0.0,0,[27869],0.0
popexpert,https://s3.amazonaws.com/photos.angel.co/startups/i/162477-ee6b9bf8df6ac586b9fe0caf44d4e3f5-medium_jpg.jpg?buster=1386372311,162477,Ken Howery,170,https://s3.amazonaws.com/photos.angel.co/users/394541-medium_jpg?1379480538,1,[162477],8,12,[162477],103,2,[162477],16
popexpert,https://s3.amazonaws.com/photos.angel.co/startups/i/162477-ee6b9bf8df6ac586b9fe0caf44d4e3f5-medium_jpg.jpg?buster=1386372311,162477,Ingrid Sanders,336,https://s3.amazonaws.com/photos.angel.co/users/130908-medium_jpg?1377813445,1,[162477],8,1,[162477],3,1,[162477],8
Posterous,https://s3.amazonaws.com/photos.angel.co/startups/i/32366-7781eaf8f83c59aff60bc0f6aea6c6fa-medium_jpg.jpg?buster=1326842607,32366,Garry Tan,6412,https://s3.amazonaws.com/photos.angel.co/users/5773-medium_jpg?1308593969,0,[],0.0,42,[],377,0,[],0.0
Posterous,https://s3.amazonaws.com/photos.angel.co/startups/i/32366-7781eaf8f83c59aff60bc0f6aea6c6fa-medium_jpg.jpg?buster=1326842607,32366,Sachin Agarwal,2678,https://s3.amazonaws.com/photos.angel.co/users/53285-medium_jpg?1314174352,1,[32366],10,2,[32366],20,1,[32366],10
Priceonomics,https://s3.amazonaws.com/photos.angel.co/startups/i/69763-e7410c45bbcb227cf1135a5233dd1f48-medium_jpg.jpg?buster=1329340748,69763,Rohin Dhar,63,https://s3.amazonaws.com/photos.angel.co/users/96794-medium_jpg?1329341294,1,[69763],10,0,[69763],0.0,0,[69763],0.0
Priceonomics,https://s3.amazonaws.com/photos.angel.co/startups/i/69763-e7410c45bbcb227cf1135a5233dd1f48-medium_jpg.jpg?buster=1329340748,69763,Omar Bohsali,23,https://s3.amazonaws.com/photos.angel.co/users/10172-medium_jpg?1367372105,1,[69763],10,0,[69763],0.0,0,[69763],0.0
Pymetrics,https://s3.amazonaws.com/photos.angel.co/startups/i/135880-2b066b8ce65bd793d592f3655545f0d7-medium_jpg.jpg?buster=1387133627,135880,Frida Polli,103,https://s3.amazonaws.com/photos.angel.co/users/195487-medium_jpg?1352490724,1,[135880],7,0,[135880],0.0,0,[135880],0.0
Pymetrics,https://s3.amazonaws.com/photos.angel.co/startups/i/135880-2b066b8ce65bd793d592f3655545f0d7-medium_jpg.jpg?buster=1387133627,135880,Julie Yoo,46,https://s3.amazonaws.com/photos.angel.co/users/195088-medium_jpg?1352402671,1,[135880],7,0,[135880],0.0,0,[135880],0.0
Quartzy,https://s3.amazonaws.com/photos.angel.co/startups/i/1790-1e20e19948d92cbadb180b47948a2124-medium_jpg.jpg?buster=1361921230,1790,Ajoy Sojan,53,https://s3.amazonaws.com/photos.angel.co/users/67714-medium_jpg?1361840619,1,[1790],10,0,[1790],0.0,0,[1790],0.0
Quartzy,https://s3.amazonaws.com/photos.angel.co/startups/i/1790-1e20e19948d92cbadb180b47948a2124-medium_jpg.jpg?buster=1361921230,1790,Jayant Kulkarni,51,https://s3.amazonaws.com/photos.angel.co/users/28827-medium_jpg?1303759242,1,[1790],10,0,[1790],0.0,0,[1790],0.0
Quartzy,https://s3.amazonaws.com/photos.angel.co/startups/i/1790-1e20e19948d92cbadb180b47948a2124-medium_jpg.jpg?buster=1361921230,1790,Adam Regelmann,17,https://s3.amazonaws.com/photos.angel.co/users/67475-medium_jpg?1319498127,1,[1790],10,0,[1790],0.0,0,[1790],0.0
Rapportive,https://s3.amazonaws.com/photos.angel.co/startups/i/2489-1a4e851d33bf478ab5e32751caeecb60-medium_jpg.jpg?buster=1315741259,2489,Rahul Vohra,1139,https://s3.amazonaws.com/photos.angel.co/users/36308-medium_jpg?1320193934,1,[2489],10,3,[2489],25,0,[2489],0.0
ReelSurfer,https://s3.amazonaws.com/photos.angel.co/startups/i/75737-69d01307cdc994c3dfa071621f025be6-medium_jpg.jpg?buster=1344526422,75737,Neil Joglekar,19,https://s3.amazonaws.com/photos.angel.co/users/5106-medium_jpg?1335811718,2,"[74368, 75737]",9,0,"[74368, 75737]",0.0,0,"[74368, 75737]",0.0
ReelSurfer,https://s3.amazonaws.com/photos.angel.co/startups/i/75737-69d01307cdc994c3dfa071621f025be6-medium_jpg.jpg?buster=1344526422,75737,Christian Yang,11,https://s3.amazonaws.com/photos.angel.co/users/5733-medium_jpg?1336338683,1,[75737],7,0,[75737],0.0,0,[75737],0.0
RethinkDB,http://c2journal.com/wp-content/uploads/2012/12/rethinkdb_logo_1210.jpg,32392,Slava Akhmechet,29,https://s3.amazonaws.com/photos.angel.co/users/56518-medium_jpg?1315524015,1,[32392],10,0,[32392],0.0,0,[32392],0.0
RethinkDB,http://c2journal.com/wp-content/uploads/2012/12/rethinkdb_logo_1210.jpg,32392,Michael Glukhovsky,30,https://angel.co/images/shared/nopic.png,1,[32392],10,0,[32392],0.0,0,[32392],0.0
Ringadoc,https://s3.amazonaws.com/photos.angel.co/startups/i/74927-2e6003dd2f4ba76a8ceb41632923f5d1-medium_jpg.jpg?buster=1359527016,74927,Jordan Michaels,187,https://s3.amazonaws.com/photos.angel.co/users/104332-medium_jpg?1357616395,1,[74927],8,0,[74927],0.0,0,[74927],0.0
Ringadoc,https://s3.amazonaws.com/photos.angel.co/startups/i/74927-2e6003dd2f4ba76a8ceb41632923f5d1-medium_jpg.jpg?buster=1359527016,74927,Micah Grossman,62,https://s3.amazonaws.com/photos.angel.co/users/221236-medium_jpg?1358450057,1,[74927],8,0,[74927],0.0,0,[74927],0.0
SaleMove,https://s3.amazonaws.com/photos.angel.co/startups/i/95278-72c7ca4e128466e7e8ecb993ac8580d6-medium_jpg.jpg?buster=1375239191,95278,Daniel Michaeli,75,https://s3.amazonaws.com/photos.angel.co/users/135139-medium_jpg?1338855570,1,[95278],6,0,[95278],0.0,0,[95278],0.0
SaleMove,https://s3.amazonaws.com/photos.angel.co/startups/i/95278-72c7ca4e128466e7e8ecb993ac8580d6-medium_jpg.jpg?buster=1375239191,95278,Justin DiPietro,95,https://s3.amazonaws.com/photos.angel.co/users/101938-medium_jpg?1330645000,1,[95278],6,0,[95278],0.0,0,[95278],0.0
SaleMove,https://s3.amazonaws.com/photos.angel.co/startups/i/95278-72c7ca4e128466e7e8ecb993ac8580d6-medium_jpg.jpg?buster=1375239191,95278,David Rodas,12,https://s3.amazonaws.com/photos.angel.co/users/135150-medium_jpg?1338857267,1,[95278],6,0,[95278],0.0,0,[95278],0.0
SaleMove,https://s3.amazonaws.com/photos.angel.co/startups/i/95278-72c7ca4e128466e7e8ecb993ac8580d6-medium_jpg.jpg?buster=1375239191,95278,Carlos Paniagua,2,https://s3.amazonaws.com/photos.angel.co/users/135272-medium_jpg?1338902741,1,[95278],6,0,[95278],0.0,0,[95278],0.0
Scanadu,https://s3.amazonaws.com/photos.angel.co/startups/i/58699-91353fc8f733481054da9ac1b7305cc2-medium_jpg.jpg?buster=1372734395,58699,Walter De Brouwer,399,https://s3.amazonaws.com/photos.angel.co/users/5371-medium_jpg?1296210395,1,[58699],7,0,[58699],0.0,0,[58699],0.0
Scripted,https://s3.amazonaws.com/photos.angel.co/startups/i/23346-e329076cc07e27d42d98840269c4730a-medium_jpg.jpg?buster=1338225447,23346,Ryan Buckley,300,https://s3.amazonaws.com/photos.angel.co/users/53737-medium_jpg?1314305493,1,[23346],9,0,[23346],0.0,0,[23346],0.0
Scripted,https://s3.amazonaws.com/photos.angel.co/startups/i/23346-e329076cc07e27d42d98840269c4730a-medium_jpg.jpg?buster=1338225447,23346,Sunil Rajaraman,328,https://s3.amazonaws.com/photos.angel.co/users/35787-medium_jpg?1307050913,1,[23346],9,0,[23346],0.0,0,[23346],0.0
ScriptPad,https://s3.amazonaws.com/photos.angel.co/startups/i/979-04b4925d175267705c14ddb04efc173a-medium_jpg.jpg?buster=1318013731,979,Michael DeLeonardis,16,https://angel.co/images/shared/nopic.png,1,[979],7,0,[979],0.0,0,[979],0.0
ScriptPad,https://s3.amazonaws.com/photos.angel.co/startups/i/979-04b4925d175267705c14ddb04efc173a-medium_jpg.jpg?buster=1318013731,979,Liam Davis-Mead,16,https://s3.amazonaws.com/photos.angel.co/users/2215-medium_jpg?1332375293,1,[979],7,0,[979],0.0,0,[979],0.0
ScriptPad,https://s3.amazonaws.com/photos.angel.co/startups/i/979-04b4925d175267705c14ddb04efc173a-medium_jpg.jpg?buster=1318013731,979,Shane Taylor,7,https://angel.co/images/shared/nopic.png,1,[979],7,0,[979],0.0,0,[979],0.0
SendHub,https://s3.amazonaws.com/photos.angel.co/startups/i/21042-dde51249b559a67e46c013acb1e2168d-medium_jpg.jpg?buster=1373686486,21042,Ash Rust,245,https://s3.amazonaws.com/photos.angel.co/users/41263-medium_jpg?1364335641,1,[21042],8,0,[21042],0.0,0,[21042],0.0
SendHub,https://s3.amazonaws.com/photos.angel.co/startups/i/21042-dde51249b559a67e46c013acb1e2168d-medium_jpg.jpg?buster=1373686486,21042,Garrett Johnson,102,https://s3.amazonaws.com/photos.angel.co/users/42582-medium_jpg?1310615750,1,[21042],8,0,[21042],0.0,0,[21042],0.0
SendHub,https://s3.amazonaws.com/photos.angel.co/startups/i/21042-dde51249b559a67e46c013acb1e2168d-medium_jpg.jpg?buster=1373686486,21042,John Fallone,58,https://s3.amazonaws.com/photos.angel.co/users/42573-medium_jpg?1329002969,1,[21042],8,0,[21042],0.0,0,[21042],0.0
SendHub,https://s3.amazonaws.com/photos.angel.co/startups/i/21042-dde51249b559a67e46c013acb1e2168d-medium_jpg.jpg?buster=1373686486,21042,Ryan Pfeffer,53,https://s3.amazonaws.com/photos.angel.co/users/118976-medium_jpg?1334790224,1,[21042],8,0,[21042],0.0,0,[21042],0.0
Shippable,https://s3.amazonaws.com/photos.angel.co/startups/i/162112-a54069e69c1c76a72e4335afd40be7a5-medium_jpg.jpg?buster=1384755263,162112,Avi Cavale,96,https://s3.amazonaws.com/photos.angel.co/users/218493-medium_jpg?1357165686,1,[162112],8,0,[162112],0.0,1,[162112],8
Shippable,https://s3.amazonaws.com/photos.angel.co/startups/i/162112-a54069e69c1c76a72e4335afd40be7a5-medium_jpg.jpg?buster=1384755263,162112,Manisha Sahasrabudhe,33,https://s3.amazonaws.com/photos.angel.co/users/233535-medium_jpg?1359517465,1,[162112],8,0,[162112],0.0,1,[162112],8
Sift,https://s3.amazonaws.com/photos.angel.co/startups/i/75722-d7f7618a9da5af4db1d45d6efca21bfb-medium_jpg.jpg?buster=1342116594,75722,Saurin Shah,130,https://s3.amazonaws.com/photos.angel.co/users/16779-medium_jpg?1334733493,2,"[75787, 75722]",11,0,"[75787, 75722]",0.0,0,"[75787, 75722]",0.0
Sift,https://s3.amazonaws.com/photos.angel.co/startups/i/75722-d7f7618a9da5af4db1d45d6efca21bfb-medium_jpg.jpg?buster=1342116594,75722,Ajay Subramanian,8,https://s3.amazonaws.com/photos.angel.co/users/25487-medium_jpg?1335747809,1,[75722],7,0,[75722],0.0,0,[75722],0.0
Simperium,https://s3.amazonaws.com/photos.angel.co/startups/i/34103-dbf52bbebf96cf6300fd3d8a32e87001-medium_jpg.jpg?buster=1326844190,34103,Michael Johnston,30,https://s3.amazonaws.com/photos.angel.co/users/128049-medium_jpg?1337026656,1,[34103],10,0,[34103],0.0,0,[34103],0.0
Simperium,https://s3.amazonaws.com/photos.angel.co/startups/i/34103-dbf52bbebf96cf6300fd3d8a32e87001-medium_jpg.jpg?buster=1326844190,34103,Fred Cheng,2,https://s3.amazonaws.com/photos.angel.co/users/128142-medium_jpg?1337037317,1,[34103],10,0,[34103],0.0,0,[34103],0.0
Simplee,https://s3.amazonaws.com/photos.angel.co/startups/i/53715-22a37141cd6c4ce3be026c3497644201-medium_jpg.jpg?buster=1336589824,53715,Tomer Shoval,130,https://s3.amazonaws.com/photos.angel.co/users/93360-medium_jpg?1328374472,1,[53715],8,0,[53715],0.0,0,[53715],0.0
SmartAsset,https://s3.amazonaws.com/photos.angel.co/startups/i/85122-c742a92e24a483c4037d5ad2ec4070cb-medium_jpg.jpg?buster=1335286337,85122,Philip Camilleri,104,https://s3.amazonaws.com/photos.angel.co/users/32683-medium_jpg?1329836305,1,[85122],9,0,[85122],0.0,0,[85122],0.0
SmartAsset,https://s3.amazonaws.com/photos.angel.co/startups/i/85122-c742a92e24a483c4037d5ad2ec4070cb-medium_jpg.jpg?buster=1335286337,85122,Michael Carvin,16,https://s3.amazonaws.com/photos.angel.co/users/26423-medium_jpg?1335202784,1,[85122],9,0,[85122],0.0,0,[85122],0.0
Snapjoy,https://s3.amazonaws.com/photos.angel.co/startups/i/53145-e30a9adbf809000def7e3955038a952f-medium_jpg.jpg?buster=1349165643,53145,Michael Dwan,63,https://s3.amazonaws.com/photos.angel.co/users/156417-medium_jpg?1351971800,1,[53145],8,0,[53145],0.0,0,[53145],0.0
Snapjoy,https://s3.amazonaws.com/photos.angel.co/startups/i/53145-e30a9adbf809000def7e3955038a952f-medium_jpg.jpg?buster=1349165643,53145,JP Ren,44,https://s3.amazonaws.com/photos.angel.co/users/67744-medium_jpg?1319506104,1,[53145],8,0,[53145],0.0,0,[53145],0.0
Snaptalent,https://s3.amazonaws.com/photos.angel.co/startups/i/36043-aedbd0f430cb99267c392eb3cb16931f-medium_jpg.jpg?buster=1326845614,36043,Sumon Sadhu,340,https://s3.amazonaws.com/photos.angel.co/users/89571-medium_jpg?1348869088,1,[36043],6,4,[36043],32,0,[36043],0.0
Snaptalent,https://s3.amazonaws.com/photos.angel.co/startups/i/36043-aedbd0f430cb99267c392eb3cb16931f-medium_jpg.jpg?buster=1326845614,36043,Jamie Quint,653,https://s3.amazonaws.com/photos.angel.co/users/1387-medium_jpg?1354597804,2,"[36043, 77760]",14,1,"[36043, 77760]",9,0,"[36043, 77760]",0.0
Snaptalent,https://s3.amazonaws.com/photos.angel.co/startups/i/36043-aedbd0f430cb99267c392eb3cb16931f-medium_jpg.jpg?buster=1326845614,36043,Tim Davey,113,https://s3.amazonaws.com/photos.angel.co/users/109164-medium_jpg?1377098405,2,"[36781, 36043]",13,0,"[36781, 36043]",0.0,0,"[36781, 36043]",0.0
Snaptalent,https://s3.amazonaws.com/photos.angel.co/startups/i/36043-aedbd0f430cb99267c392eb3cb16931f-medium_jpg.jpg?buster=1326845614,36043,Brad Cater,33,https://s3.amazonaws.com/photos.angel.co/users/77965-medium_jpg?1323047191,1,[36043],6,0,[36043],0.0,0,[36043],0.0
Songkick,https://s3.amazonaws.com/photos.angel.co/startups/i/32452-96d8910b8e8a994ff3510ad6493c9428-medium_jpg.jpg?buster=1349863099,32452,Pete Smith,147,https://s3.amazonaws.com/photos.angel.co/users/184624-medium_jpg?1349966438,2,"[244541, 32452]",15,0,"[244541, 32452]",0.0,0,"[244541, 32452]",0.0
Songkick,https://s3.amazonaws.com/photos.angel.co/startups/i/32452-96d8910b8e8a994ff3510ad6493c9428-medium_jpg.jpg?buster=1349863099,32452,Ian Hogarth,329,https://angel.co/images/shared/nopic.png,1,[32452],10,0,[32452],0.0,0,[32452],0.0
Songkick,https://s3.amazonaws.com/photos.angel.co/startups/i/32452-96d8910b8e8a994ff3510ad6493c9428-medium_jpg.jpg?buster=1349863099,32452,michelle,77,https://angel.co/images/shared/nopic.png,1,[32452],10,0,[32452],0.0,0,[32452],0.0
Sportlyzer,https://s3.amazonaws.com/photos.angel.co/startups/i/2198-1833c62fd5b85f9e62f2a3c8229cff84-medium_jpg.jpg?buster=1315741517,2198,Jüri Kaljundi,1945,https://s3.amazonaws.com/photos.angel.co/users/6490-medium_jpg?1308856389,6,"[171863, 2198, 86746, 72157, 33931, 6110]",32,2,"[171863, 2198, 86746, 72157, 33931, 6110]",9,0,"[171863, 2198, 86746, 72157, 33931, 6110]",0.0
Sportlyzer,https://s3.amazonaws.com/photos.angel.co/startups/i/2198-1833c62fd5b85f9e62f2a3c8229cff84-medium_jpg.jpg?buster=1315741517,2198,Tõnis Saag,247,https://s3.amazonaws.com/photos.angel.co/users/5376-medium_jpg?1296235481,1,[2198],7,0,[2198],0.0,0,[2198],0.0
Sportlyzer,https://s3.amazonaws.com/photos.angel.co/startups/i/2198-1833c62fd5b85f9e62f2a3c8229cff84-medium_jpg.jpg?buster=1315741517,2198,Aave Hannus,11,https://s3.amazonaws.com/photos.angel.co/users/35219-medium_jpg?1306809713,1,[2198],7,0,[2198],0.0,0,[2198],0.0
Sportlyzer,https://s3.amazonaws.com/photos.angel.co/startups/i/2198-1833c62fd5b85f9e62f2a3c8229cff84-medium_jpg.jpg?buster=1315741517,2198,Indrek Altpere,8,https://angel.co/images/shared/nopic.png,1,[2198],7,0,[2198],0.0,0,[2198],0.0
Sportlyzer,https://s3.amazonaws.com/photos.angel.co/startups/i/2198-1833c62fd5b85f9e62f2a3c8229cff84-medium_jpg.jpg?buster=1315741517,2198,Kalmer Rautam,29,https://s3.amazonaws.com/photos.angel.co/users/37021-medium_jpg?1307698398,1,[2198],7,0,[2198],0.0,0,[2198],0.0
Sportlyzer,https://s3.amazonaws.com/photos.angel.co/startups/i/2198-1833c62fd5b85f9e62f2a3c8229cff84-medium_jpg.jpg?buster=1315741517,2198,Hanno Vene,7,https://s3.amazonaws.com/photos.angel.co/users/35235-medium_jpg?1306824789,1,[2198],7,0,[2198],0.0,0,[2198],0.0
